



春晚,#genre#
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4


安徽,#genre#
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
肥西综合,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5/hls.m3u8
歙县综合,http://112.30.194.221:20080/live/4b3024127d1c472986ccdcb454f81a9f/hls.m3u8
安徽卫视,http://114.107.2.100:2000/udp/238.1.79.27:4328
安徽经济,http://114.107.2.100:2000/udp/238.1.79.44:4464
安徽影视,http://114.107.2.100:2000/udp/238.1.79.42:4448
安徽公共,http://114.107.2.100:2000/udp/238.1.79.43:4456
安徽体育,http://114.107.2.100:2000/udp/238.1.79.41:4440
安徽科教,http://114.107.2.100:2000/udp/238.1.79.40:4432
安徽人物,http://114.107.2.100:2000/udp/238.1.79.45:4472
安徽国际,http://114.107.2.100:2000/udp/238.1.78.61:6360
安徽导视,http://114.107.2.100:2000/udp/238.1.79.66:4664
安徽卫视,http://223.247.167.132:2000/udp/238.1.79.27:4328
安徽经济,http://223.247.167.132:2000/udp/238.1.79.44:4464
安徽影视,http://223.247.167.132:2000/udp/238.1.79.42:4448
安徽公共,http://223.247.167.132:2000/udp/238.1.79.43:4456
安徽体育,http://223.247.167.132:2000/udp/238.1.79.41:4440
安徽科教,http://223.247.167.132:2000/udp/238.1.79.40:4432
安徽人物,http://223.247.167.132:2000/udp/238.1.79.45:4472
安徽国际,http://223.247.167.132:2000/udp/238.1.78.61:6360
安徽导视,http://223.247.167.132:2000/udp/238.1.79.66:4664
宿州新闻综合频道,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
宿州经济生活频道,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州科技教育频道,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
淮南新闻综合频道,http://stream.0554news.com/hnds1/sd/live.m3u8
淮南民生频道,http://stream.0554news.com/hnds2/sd/live.m3u8
池州文化生活频道,http://cm.wshls.homecdn.com/live/4abdf.m3u8
亳州农村频道,http://220.180.110.101:8083/videos/live/39/13/o4ncrHkSp7q09/o4ncrHkSp7q09.M3U8
灵璧县电视台,http://live.cms.anhuinews.com/video/s10003-lbtv/index.m3u8
固镇县电视台,http://www.guzhenm.com:7001/hls/hd-live.m3u8
歙县电视台,http://112.30.194.221:20080/live/4b3024127d1c472986ccdcb454f81a9f/hls.m3u8
肥西县电视台,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5.flv
利辛新闻电视台,https://live.fst1994.net/hls/lixinxw/index.m3u8
安徽导视,https://livehls1.appcoo.com/liveshopping/949E0A98C9D0C311/6D925141BC1F8C28/index.m3u8
利辛影视电视台,https://live.fst1994.net/hls/lixinys/index.m3u8

北京,#genre#
北京卫视,http://124.205.11.246:91/live/BJWShd-8M/live.m3u8
北京文艺,http://124.205.11.246:91/live/BTVWYhd-5M/live.m3u8
北京体育休闲,http://1.202.116.100:87/udp/225.1.8.23:8002$北京电信
北京体育休闲,http://webmail.axxe.top:4022/rtp/239.3.1.243:8000$北京联通组播1
北京体育休闲,http://221.221.146.87:8182/rtp/239.3.1.243:8000$北京联通组播2
北京体育休闲,http://111.196.127.190:8054/rtp/239.3.1.243:8000$北京联通组播3
北京体育休闲,http://111.196.186.191:5555/rtp/239.3.1.243:8000$北京联通组播4
北京体育休闲,http://124.205.11.246:91/live/BTVTYhd-8M/live.m3u8
北京影视,http://124.205.11.246:91/live/BTVYShd-5M/live.m3u8
北京财经,http://124.205.11.246:91/live/BTVCJhd-5M/live.m3u8
北京生活,http://124.205.11.246:91/live/BTVSHhd-5M/live.m3u8
北京新闻,http://124.205.11.246:91/live/BTVXWhd-5M/live.m3u8
北京纪实科教,http://124.205.11.246:91/live/BTVKJ-1500k/live.m3u8
北京纪实科教,http://124.205.11.246:91/live/BTVKJhd-5M/live.m3u8
北京纪实科教,http://124.205.11.246:91/live/BTVKJhd-8M/live.m3u8
北京国际,http://124.205.11.246:91/live/BTVGJ-1500k/live.m3u8
北京纪实科教,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8$官方8K
北京纪实科教,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8$官方8K
北京新闻,https://live.funhillrm.com/5/sd/live.m3u8$房山电视
房山电视,http://live.funhillrm.com/2/sd/live.m3u8$房山电视
北京卫视,http://115.171.216.54:4000/udp/225.1.8.21:8002$北京电信组播
北京文艺,http://115.171.216.54:4000/udp/225.1.8.22:8002$北京电信组播
北京科教,http://115.171.216.54:4000/udp/225.1.8.105:8002$北京电信组播
北京影视,http://115.171.216.54:4000/udp/225.1.8.82:8000$北京电信组播
北京财经,http://115.171.216.54:4000/udp/225.1.8.106:8002$北京电信组播
北京冬奥纪实,http://115.171.216.54:4000/udp/225.1.8.23:8002$北京电信组播
北京生活,http://115.171.216.54:4000/udp/225.1.8.108:8002$北京电信组播
北京青年,http://115.171.216.54:4000/udp/225.1.8.118:8002$北京电信组播
北京新闻,http://115.171.216.54:4000/udp/225.1.8.83:8000$北京电信组播
北京卡酷少儿,http://115.171.216.54:4000/udp/225.1.8.35:8000$北京电信组播
