中视,http://50.7.61.148:30080/Entry/ctv
台视,http://50.7.61.148:30080/Entry/ttv
民视,http://50.7.61.147:30080/Entry/ftv
华视,http://50.7.61.147:30080/Entry/cts
TVBS,http://50.7.61.148:30080/Entry/tvbs
TLC,http://50.7.61.147:30080/Entry/tlc
JET综合,http://50.7.61.147:30080/Entry/jet
SET三立台湾,http://50.7.61.148:30080/Entry/settw-
卫视中文,http://50.7.61.148:30080/Entry/starchinese
AXN,http://50.7.61.148:30080/Entry/axn
HBO,http://50.7.61.148:30080/Entry/hbo
东森新闻,http://50.7.61.147:30080/Entry/etnews
纬来日本,http://50.7.61.147:30080/Entry/vljp
民视新闻,http://50.7.61.148:30080/Entry/ftvnews
TVBS新闻,http://50.7.61.148:30080/Entry/tvbsnews
非凡商业,http://50.7.61.147:30080/Entry/ubnbus
壹新闻 HD,http://50.7.61.147:30080/Entry/etv
TVBS亚洲台,http://iptv.tvfix.org/hls/tvbs.m3u8
TVBS新闻台,http://iptv.tvfix.org/hls/tvbsnews.m3u8
中天新闻,http://iptv.tvfix.org/hls/ztxw.m3u8
东森新闻,http://iptv.tvfix.org/hls/dsxw.m3u8
民視,rtmp://59.124.75.157/sat/tv051
台視,rtmp://59.124.75.157/sat/tv071
中視,rtmp://59.124.75.157/sat/tv091
華視,rtmp://59.124.75.157/sat/tv111
TVBS新聞,rtmp://59.124.75.157/sat/tv551
TVBS歡樂,rtmp://59.124.75.157/sat/tv421
東森財經新聞,rtmp://59.124.75.157/sat/tv571
東森超視,rtmp://59.124.75.157/sat/tv521
緯來育樂,rtmp://59.124.75.157/sat/tv701
緯來體育,rtmp://59.124.75.157/sat/tv721
ELEVEN1,rtmp://59.124.75.157/sat/tv731
ELEVEN2,rtmp://59.124.75.157/sat/tv741
緯來日本,rtmp://59.124.75.157/sat/tv771
MOMO綜合,rtmp://59.124.75.157/sat/tv761
ELTA體育2,rtmp://59.124.75.157/sat/md011
ELEVEN2,rtmp://59.124.75.157/sat/md021
博斯網球,rtmp://59.124.75.157/sat/md031
ELTA體育3,rtmp://59.124.75.157/sat/md041
ELTA體育1,rtmp://59.124.75.157/sat/md051
民視,rtmp://59.124.75.138/sat/tv051
台視,rtmp://59.124.75.138/sat/tv071
中視,rtmp://59.124.75.138/sat/tv091
華視,rtmp://59.124.75.138/sat/tv111
TVBS新聞,rtmp://59.124.75.138/sat/tv551
TVBS歡樂,rtmp://59.124.75.138/sat/tv421
東森財經新聞,rtmp://59.124.75.138/sat/tv571
東森超視,rtmp://59.124.75.138/sat/tv521
緯來育樂,rtmp://59.124.75.138/sat/tv701
緯來體育,rtmp://59.124.75.138/sat/tv721
ELEVEN1,rtmp://59.124.75.138/sat/tv731
ELEVEN2,rtmp://59.124.75.138/sat/tv741
緯來日本,rtmp://59.124.75.138/sat/tv771
MOMO綜合,rtmp://59.124.75.138/sat/tv761
ELTA體育2,rtmp://59.124.75.138/sat/md011
ELEVEN2,rtmp://59.124.75.138/sat/md021
博斯網球,rtmp://59.124.75.138/sat/md031
ELTA體育3,rtmp://59.124.75.138/sat/md041
ELTA體育1,rtmp://59.124.75.138/sat/md051
大愛,http://51.222.193.142:40010/21
非凡新聞,http://51.222.193.142:40010/22
華視教育,http://51.222.193.142:40010/23
寰宇新聞,http://51.222.193.142:40010/24
台視綜合,http://51.222.193.142:40010/25
龍華偶像,http://51.222.193.142:40010/26
龍華戲劇,http://51.222.193.142:40010/27
龍華洋片,http://51.222.193.142:40010/28
靖洋卡通,http://51.222.193.142:40010/29
靖天卡通,http://51.222.193.142:40010/30
靖天電視,http://51.222.193.142:40010/31
靖天日本,http://51.222.193.142:40010/32
壹電視綜合,http://51.222.193.142:40010/33
八大第一,http://51.222.193.142:40010/34
八大戲劇,http://51.222.193.142:40010/35
八大綜合,http://51.222.193.142:40010/36
愛爾達體育2,http://51.222.193.142:40010/37
愛爾達綜合,http://51.222.193.142:40010/38
愛爾達影劇,http://51.222.193.142:40010/39
愛爾達體育1,http://51.222.193.142:40010/40
愛爾達體育3,http://51.222.193.142:40010/41
非凡商業,http://51.222.193.142:40010/42
JET綜合,http://51.222.193.142:40010/43
衛視中文,http://51.222.193.142:40010/44
ELEVEN1,http://51.222.193.142:40010/45
客家電視,http://51.222.193.143:40004/1
Z頻道,http://51.222.193.143:40004/3
韓國娛樂,http://51.222.193.143:40004/4
迴旋鏢頻道,http://51.222.193.143:40004/5
希望綜合,http://51.222.193.143:40004/6
華臟衛視,http://51.222.193.143:40004/7
天良,http://51.222.193.143:40004/8
信大,http://51.222.193.143:40004/9
華納TV,http://51.222.193.143:40004/10
華視,http://51.222.193.143:40004/11
台視,http://51.222.193.143:40004/12
台視新聞,http://51.222.193.143:40004/13
中視經典,http://51.222.193.143:40004/14
中視,http://51.222.193.143:40004/15
中視新聞,http://51.222.193.143:40004/16
公視,http://51.222.193.143:40004/17
公視3,http://51.222.193.143:40004/18
ELEVEN2,http://51.222.193.143:40004/19
博斯高球II,http://51.222.193.143:40004/20
博斯運動II,http://51.222.193.143:40004/21
博斯網球,http://51.222.193.143:40004/22
博斯無限II,http://51.222.193.143:40004/23
博斯高球,http://51.222.193.143:40004/24
